Family,Certainty level for identification,Code(Cliff),Genus,Species,Block (B means Block),Site gr (grass) or cc (cover crop),Plot,Subplot,OrderNo,Date,CoverPerc,Soil,Rock,Wood,Litter,StandingDead,Water,Lichen,Moss,OtherNonVascular,Scat,CameraID,Code(Dan),Comments,Site,Corner,Location,Year,Month,Day,Height>3m,Status,Cluster,MorphospeciesID,TaxonID,Collected,Authority
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,31.4.1,_08,2-Mar-20,2,,,,,,,,,,,,tri.pro,,31,SW,VF,2020,3,2,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B01,cc,B01cc,31.4.1,_09,2-Mar-20,1,,,,,,,,,,,,lep.vir,,31,SW,VF,2020,3,2,,,,,,,
Faba,ToSpp,CroJun,Crotalaria,juncea,B01,cc,B01cc,31.4.1,_10,2-Mar-20,<1,,,,,,,,,,,,crot. Jun,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,31.4.1,_11,2-Mar-20,2,,,,,,,,,,,,emi.fos,,31,SW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,31.4.1,_12,2-Mar-20,<1,,,,,,,,,,,,cham.hyp,,31,SW,VF,2020,3,2,,,,,,,
Euph,gSbGn,ChaHi/Op,Chamaesyce,sp.(hir/opt),B01,cc,B01cc,31.4.1,_13,2-Mar-20,<1,,,,,,,,,,,,NA,,31,SW,VF,2020,3,2,,,,,,,
Amar,Genus,AmaSp.,Amaranthus,sp.,B01,cc,B01cc,31.4.1,_14,2-Mar-20,<1,,,,,,,,,,,,Amar.sp,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,SetPar,Setaria,parviflora,B01,cc,B01cc,31.4.1,_15,2-Mar-20,<1,,,,,,,,,,,,set.par,,31,SW,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B01,cc,B01cc,31.4.1,_16,2-Mar-20,<1,,,,,,,,,,,,phy.ama,,31,SW,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boerhavia,erecta,B01,cc,B01cc,31.4.1,_17,2-Mar-20,<1,,,,,,,,,,,,bor.ere,,31,SW,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,31.4.1,_18,2-Mar-20,<1,,,,,,,,,,,,oxal.lat,,31,SW,VF,2020,3,2,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B01,cc,B01cc,31.4.1,_19,2-Mar-20,<1,,,,,,,,,,,,arg.mex,,31,SW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHys,Chamaesyce,hyssopifolia,B01,cc,B01cc,31.4.10,_01,2-Mar-20,NA,,,,,,,,,,,,cham.hys,,31,SW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaPro,Chamaesyce,prostrata,B01,cc,B01cc,31.4.10,_02,2-Mar-20,NA,,,,,,,,,,,,cham.pro,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,SonAsp,Sonchus,asper,B01,cc,B01cc,31.4.10,_03,2-Mar-20,NA,,,,,,,,,,,,NA,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B01,cc,B01cc,31.4.10,_04,2-Mar-20,NA,,,,,,,,,,,,NA,,31,SW,VF,2020,3,2,,,,,,,
Poac,Genus,PasSp.,Paspalum,sp.,B01,cc,B01cc,31.4.10,_05,2-Mar-20,NA,,,,,,,,,,,,pas.sp,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,EraBar,Eragrostis,barrelieri,B01,cc,B01cc,31_100,_01,2-Mar-20,NA,,,,,,,,,,,,era.bar,,31,SW,VF,2020,3,2,,,,,,,
Faba,ToSpp,DesTor,Desmodium,tortuosum,B01,cc,B01cc,31_100,_02,2-Mar-20,NA,,,,,,,,,,,,desm.tor,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,PecPro,Pectis,prostrata,B01,cc,B01cc,31_100,_03,2-Mar-20,NA,,,,,,,,,,,,pec.pro,,31,SW,VF,2020,3,2,,,,,,,
Faba,ToSpp,MucPru,Mucuna,pruriens,B01,cc,B01cc,31_100,_04,2-Mar-20,NA,,,,,,,,,,,,muc.pru,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B01,cc,B01cc,32.2.1,_01,2-Mar-20,5,20,50,<1,5,<1,0,0,0,<1,0,3,cen.ech,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,32.2.1,_02,2-Mar-20,4,,,,,,,,,,,,medi.lup,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,CroJun,Crotalaria,juncea,B01,cc,B01cc,32.2.1,_03,2-Mar-20,1,,,,,,,,,,,,cro.jun,,32,SE,VF,2020,3,2,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B01,cc,B01cc,32.2.1,_04,2-Mar-20,1,,,,,,,,,,,,ana.arv,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B01,cc,B01cc,32.2.1,_05,2-Mar-20,1,,,,,,,,,,,,part.hys,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,DesTor,Desmodium,tortuosum,B01,cc,B01cc,32.2.1,_06,2-Mar-20,1,,,,,,,,,,,,desm.tor,,32,SE,VF,2020,3,2,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B01,cc,B01cc,32.2.1,_07,2-Mar-20,<1,,,,,,,,,,,,lepi.vir,,32,SE,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,32.2.1,_08,2-Mar-20,1,,,,,,,,,,,,oxal.lat,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B01,cc,B01cc,32.2.1,_09,2-Mar-20,<1,,,,,,,,,,,,cham.hir,,32,SE,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,32.2.1,_10,2-Mar-20,<1,,,,,,,,,,,,cyp.sp,,32,SE,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B01,cc,B01cc,32.2.1,_11,2-Mar-20,<1,,,,,,,,,,,,phyl.ama,,32,SE,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boehavia,erecta,B01,cc,B01cc,32.2.1,_12,2-Mar-20,<1,,,,,,,,,,,,boe.ere,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,32.2.1,_13,2-Mar-20,1,,,,,,,,,,,,tri.pro,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,PecPro,Pectis,prostrata,B01,cc,B01cc,32.2.1,_14,2-Mar-20,<1,,,,,,,,,,,,pec.pro,,32,SE,VF,2020,3,2,,,,,,,
Euph,Genus,EupSp.,Euphorbia,sp. ,B01,cc,B01cc,32.2.1,_15,2-Mar-20,<1,,,,,,,,,,,,eup.sp,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHys,Chamaesyce,hyssopifolia,B01,cc,B01cc,32.2.1,_16,2-Mar-20,1,,,,,,,,,,,,cham.hys,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,32.2.1,_17,2-Mar-20,<1,,,,,,,,,,,,cham.hyp,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B01,cc,B01cc,32.2.10,_01,2-Mar-20,NA,,,,,,,,,,,,bid.alb,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitaria,ciliaris,B01,cc,B01cc,32.2.10,_02,2-Mar-20,NA,,,,,,,,,,,,digi.cil,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,SonAsp,Sonchus,asper,B01,cc,B01cc,32.2.10,_03,2-Mar-20,NA,,,,,,,,,,,,NA,,32,SE,VF,2020,3,2,,,,,,,
Poac,Genus,PasSp.,Paspalum,sp.,B01,cc,B01cc,32.2.10,_04,2-Mar-20,NA,,,,,,,,,,,,pas.sp, ,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,32.2.10,_05,2-Mar-20,NA,,,,,,,,,,,,emi.fos,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,32.4.1,_01,2-Mar-20,10,25,40,<1,3,0,0,0,0,<1,0,4,medi.lup,,32,SE,VF,2020,3,2,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B01,cc,B01cc,32.4.1,_02,2-Mar-20,1,,,,,,,,,,,,oen.lac,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B01,cc,B01cc,32.4.1,_03,2-Mar-20,<1,,,,,,,,,,,,sorg.bic,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B01,cc,B01cc,32.4.1,_04,2-Mar-20,1,,,,,,,,,,,,cen.ech,,32,SE,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,32.4.1,_05,2-Mar-20,1,,,,,,,,,,,,cyp.sp,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,32.4.1,_06,2-Mar-20,<1,,,,,,,,,,,,emi.fos,,32,SE,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus ,amarus,B01,cc,B01cc,32.4.1,_07,2-Mar-20,<1,,,,,,,,,,,,phy.ama,,32,SE,VF,2020,3,2,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B01,cc,B01cc,32.4.1,_08,2-Mar-20,1,,,,,,,,,,,,ana.arv,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHys,Chamaesyce,hyssopifolia,B01,cc,B01cc,32.4.1,_09,2-Mar-20,<1,,,,,,,,,,,,cha.hys,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,32.4.1,_10,2-Mar-20,1,,,,,,,,,,,,tri.pro,,32,SE,VF,2020,3,2,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B01,cc,B01cc,32.4.1,_11,2-Mar-20,<1,,,,,,,,,,,,lep.vir,,32,SE,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,32.4.1,_12,2-Mar-20,<1,,,,,,,,,,,,oxa.lat,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,EupHet,Euphorbia,heterophylla,B01,cc,B01cc,32.4.1,_13,2-Mar-20,<1,,,,,,,,,,,,eup.het,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B01,cc,B01cc,32.4.1,_14,2-Mar-20,<1,,,,,,,,,,,,cha.hir,,32,SE,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boerhavia,erecta,B01,cc,B01cc,32.4.1,_15,2-Mar-20,<1,,,,,,,,,,,,boe.ere,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitaria,ciliaris,B01,cc,B01cc,32.4.10,_01,2-Mar-20,NA,,,,,,,,,,,,digi.cil,,32,SE,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,32.4.10,_02,2-Mar-20,NA,,,,,,,,,,,,cham.hyp,,32,SE,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus ,amarus,B01,cc,B01cc,32.4.10,_03,2-Mar-20,NA,,,,,,,,,,,,phy.ama,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B01,cc,B01cc,32.4.10,_04,2-Mar-20,NA,,,,,,,,,,,,NA,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,CroJun,Crotalaria,juncea,B01,cc,B01cc,32_100,_01,2-Mar-20,NA,,,,,,,,,,,,cro.jun,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B01,cc,B01cc,32_100,_02,2-Mar-20,NA,,,,,,,,,,,,par.hys,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B01,cc,B01cc,32_100,_03,2-Mar-20,NA,,,,,,,,,,,,bid.alb,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,MucPru,Mucuna,pruriens,B01,cc,B01cc,32_100,_04,2-Mar-20,NA,,,,,,,,,,,,muc.pru,,32,SE,VF,2020,3,2,,,,,,,
Hydr,ToSpp,NamJam,Nama,jamaicensis,B01,cc,B01cc,32_100,_05,2-Mar-20,NA,,,,,,,,,,,,nam.jam,,32,SE,VF,2020,3,2,,,,,,,
Aste,ToSpp,PecPro,Pectis,prostrata,B01,cc,B01cc,32_100,_06,2-Mar-20,NA,,,,,,,,,,,,pec.pro,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,EleInd,Eleusine,indica,B01,cc,B01cc,32_100,_07,2-Mar-20,NA,,,,,,,,,,,,ele.ind,,32,SE,VF,2020,3,2,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B01,cc,B01cc,32_100,_08,2-Mar-20,NA,,,,,,,,,,,,pas.fim,,32,SE,VF,2020,3,2,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B01,cc,B01cc,32_100,_09,2-Mar-20,NA,,,,,,,,,,,,arg.mex,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,DesTor,Desmodium,tortuosum,B01,cc,B01cc,32_100,_10,2-Mar-20,NA,,,,,,,,,,,,des.tor,,32,SE,VF,2020,3,2,,,,,,,
Euph,Genus,EupSp.,Euphorbia,sp.,B01,cc,B01cc,32_100,_11,2-Mar-20,NA,,,,,,,,,,,,eup.sp,,32,SE,VF,2020,3,2,,,,,,,
Aste,Fam,NA,Aste(UnkSp.),NA,B01,cc,B01cc,32_100,_12,2-Mar-20,NA,,,,,,,,,,,,NA,,32,SE,VF,2020,3,2,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,40.1.1,_01,2-Mar-20,20,20,30,<1,4,<1,0,0,0,<1,0,,medi.lup,,40,NW,VF,2020,3,2,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B01,cc,B01cc,40.1.1,_02,2-Mar-20,15,,,,,,,,,,,,oen.lac,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHys,Chamaesyce,hyssopifolia,B01,cc,B01cc,40.1.1,_03,2-Mar-20,1,,,,,,,,,,,,cha.hys,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B01,cc,B01cc,40.1.1,_04,2-Mar-20,1,,,,,,,,,,,,cha.hir,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B01,cc,B01cc,40.1.1,_05,2-Mar-20,2,,,,,,,,,,,,digi.cil,,40,NW,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus ,amarus,B01,cc,B01cc,40.1.1,_06,2-Mar-20,<1,,,,,,,,,,,,phy.ama,,40,NW,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,40.1.1,_07,2-Mar-20,1,,,,,,,,,,,,cyp.sp,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B01,cc,B01cc,40.1.1,_08,2-Mar-20,1,,,,,,,,,,,,cen.ech,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,EraBar,Eragrostis,barrelieri,B01,cc,B01cc,40.1.1,_09,2-Mar-20,<1,,,,,,,,,,,,era.bar,,40,NW,VF,2020,3,2,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,40.1.1,_10,2-Mar-20,<1,,,,,,,,,,,,tri.pro,,40,NW,VF,2020,3,2,,,,,,,
Aste,Fam,NA,Aste(UnkSp.),NA,B01,cc,B01cc,40.1.1,_11,2-Mar-20,1,,,,,,,,,,,,NA,,40,NW,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,40.1.1,_12,2-Mar-20,1,,,,,,,,,,,,emi.fos,,40,NW,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,40.1.1,_13,2-Mar-20,<1,,,,,,,,,,,,oxa.lat,,40,NW,VF,2020,3,2,,,,,,,
Faba,ToSpp,MucPru,Mucuna,pruriens,B01,cc,B01cc,40.1.10,_01,2-Mar-20,NA,,,,,,,,,,,,muc.pru,,40,NW,VF,2020,3,2,,,,,,,
Amar,ToSpp,CheAlb,Chenopodium,album,B01,cc,B01cc,40.1.10,_02,2-Mar-20,NA,,,,,,,,,,,,che.alb,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,40.1.10,_03,2-Mar-20,NA,,,,,,,,,,,,cha.hyp,,40,NW,VF,2020,3,2,,,,,,,
Malv,ToSpp,SidUlm,Sida,ulmifolia,B01,cc,B01cc,40.1.10,_04,2-Mar-20,NA,,,,,,,,,,,,sid.ulm,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B01,cc,B01cc,40.1.10,_05,2-Mar-20,NA,,,,,,,,,,,,pas.fim,,40,NW,VF,2020,3,2,,,,,,,
Aste,Genus,SonSp.,Sonchus,sp.,B01,cc,B01cc,40.1.10,_06,2-Mar-20,NA,,,,,,,,,,,,son.sp,,40,NW,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boerhavia,erecta,B01,cc,B01cc,40.1.10,_07,2-Mar-20,NA,,,,,,,,,,,,boe.ere,,40,NW,VF,2020,3,2,,,,,,,
Poac,Fam,NA,Poac(~EreOph),NA,B01,cc,B01cc,40.1.10,_08,2-Mar-20,NA,,,,,,,,,,,,NA,,40,NW,VF,2020,3,2,,,,,,,
Poac,Genus,SetSp.,Setaria,sp.,B01,cc,B01cc,40.1.10,_09,2-Mar-20,NA,,,,,,,,,,,,set.sp,,40,NW,VF,2020,3,2,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,40.3.1,_01,2-Mar-20,5,20,40,1,3,<1,0,0,0,<1,0,6,medi.lup,,40,NW,VF,2020,3,2,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B01,cc,B01cc,40.3.1,_02,2-Mar-20,5,,,,,,,,,,,,oen.lac,,40,NW,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,40.3.1,_03,2-Mar-20,2,,,,,,,,,,,,oxa.lat,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,40.3.1,_04,2-Mar-20,1,,,,,,,,,,,,cha.hyp,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHys,Chamaesyce,hyssopifolia,B01,cc,B01cc,40.3.1,_05,2-Mar-20,<1,,,,,,,,,,,,cha.hys,,40,NW,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,40.3.1,_06,2-Mar-20,<1,,,,,,,,,,,,cyp.sp,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B01,cc,B01cc,40.3.1,_07,2-Mar-20,<1,,,,,,,,,,,,dig.cil,,40,NW,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boerhavia,erecta,B01,cc,B01cc,40.3.1,_08,2-Mar-20,<1,,,,,,,,,,,,boe.ere,,40,NW,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,40.3.1,_09,2-Mar-20,<1,,,,,,,,,,,,emi.fos,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,SetPar,Setaria,parviflora,B01,cc,B01cc,40.3.1,_10,2-Mar-20,<1,,,,,,,,,,,,set.par,,40,NW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B01,cc,B01cc,40.3.1,_11,2-Mar-20,<1,,,,,,,,,,,,cha.hir,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B01,cc,B01cc,40.3.10,_01,2-Mar-20,NA,,,,,,,,,,,,cen.ech,,40,NW,VF,2020,3,2,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B01,cc,B01cc,40.3.10,_02,2-Mar-20,NA,,,,,,,,,,,,sor.bic,,40,NW,VF,2020,3,2,,,,,,,
Aste,Genus,SonSp.,Sonchus,sp.,B01,cc,B01cc,40.3.10,_03,2-Mar-20,NA,,,,,,,,,,,,son.sp,,40,NW,VF,2020,3,2,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B01,cc,B01cc,40.3.10,_04,2-Mar-20,NA,,,,,,,,,,,,par.hys,,40,NW,VF,2020,3,2,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,40.3.10,_05,2-Mar-20,NA,,,,,,,,,,,,tri.pro,,40,NW,VF,2020,3,2,,,,,,,
